Right-IntCapsule-Pos	d450df74-7f7c-425c-9378-9931a5f0e4a3
Right IntCapsule Pos	d450df74-7f7c-425c-9378-9931a5f0e4a3
brainstem	fma79876
brainstem	fma79876
DCG	07a6843e-f9ac-4378-9bb2-60759ee80f69
DCG	07a6843e-f9ac-4378-9bb2-60759ee80f69
Vermis	49566a26-5e0e-4196-a849-c2f43a8fd08a
Vermis	49566a26-5e0e-4196-a849-c2f43a8fd08a
Midbrain	fma61993
Midbrain	fma61993
Pons	fma67943
Pons	fma67943
Medulla	fma61108
Medulla	fma61108
Vermis-White-Matter	aaec8098-0275-41ee-b6b1-2e05c7e2a21c
Vermis White Matter	aaec8098-0275-41ee-b6b1-2e05c7e2a21c
SCP	1c261d96-96cf-463c-8160-2437b6499331
SCP	1c261d96-96cf-463c-8160-2437b6499331
Floculus	1bb0eac4-8345-447b-acd6-dbb5a23b068d
Floculus	1bb0eac4-8345-447b-acd6-dbb5a23b068d
Left-Cortical-Dysplasia	73d13a67-2820-4098-99fc-5e375439aeaf
Left Cortical Dysplasia	73d13a67-2820-4098-99fc-5e375439aeaf
Right-Cortical-Dysplasia	3b741bf7-7a03-4ba2-931c-a1081a6f4e56
Right Cortical Dysplasia	3b741bf7-7a03-4ba2-931c-a1081a6f4e56
CblumNodulus	af2e61c4-0723-4835-aaae-dec83567cca6
CblumNodulus	af2e61c4-0723-4835-aaae-dec83567cca6
Left-hippocampal_fissure	31b8ac44-e9c0-4c3a-b24e-96c071fb8627
Left hippocampal_fissure	31b8ac44-e9c0-4c3a-b24e-96c071fb8627
Left-CADG-head	fma261141
Left CADG head	fma261141
Left-subiculum	fma272419
Left subiculum	fma272419
Left-fimbria	fma235004
Left fimbria	fma235004
Right-hippocampal_fissure	2a757896-fd23-4532-a9a8-5dbb68b7815d
Right hippocampal_fissure	2a757896-fd23-4532-a9a8-5dbb68b7815d
Right-CADG-head	fma261139
Right CADG head	fma261139
Right-subiculum	fma272417
Right subiculum	fma272417
Right-fimbria	fma235002
Right fimbria	fma235002
alveus	fma83867
alveus	fma83867
perforant_pathway	93b801b9-df12-4909-989a-12353688a4dc
perforant_pathway	93b801b9-df12-4909-989a-12353688a4dc
parasubiculum	fma77604
parasubiculum	fma77604
presubiculum	fma62486
presubiculum	fma62486
subiculum	fma74414
subiculum	fma74414
CA1	fma74042
CA1	fma74042
CA2	fma74044
CA2	fma74044
CA3	fma74045
CA3	fma74045
CA4	fma75741
CA4	fma75741
GC-DG	fma61922
GC DG	fma61922
HATA	f4c9a300-7cf7-4a26-b473-0d1a7ac62abc
HATA	f4c9a300-7cf7-4a26-b473-0d1a7ac62abc
fimbria	fma83866
fimbria	fma83866
lateral_ventricle	fma78448
lateral_ventricle	fma78448
molecular_layer_HP	2f6b6113-aaa7-4716-92bc-b5d649b729bb
molecular_layer_HP	2f6b6113-aaa7-4716-92bc-b5d649b729bb
hippocampal_fissure	09717ed9-8a9f-4eaa-9d2d-74fc6b3e5e54
hippocampal_fissure	09717ed9-8a9f-4eaa-9d2d-74fc6b3e5e54
entorhinal_cortex	fma72356
entorhinal_cortex	fma72356
molecular_layer_subiculum	104318e6-f6d9-4733-a870-57ca5c95018e
molecular_layer_subiculum	104318e6-f6d9-4733-a870-57ca5c95018e
Amygdala	fma61841
Amygdala	fma61841
Cerebral_White_Matter	fma241998
Cerebral_White_Matter	fma241998
Cerebral_Cortex	fma61830
Cerebral_Cortex	fma61830
Inf_Lat_Vent	fma83701
Inf_Lat_Vent	fma83701
Perirhinal	fma61918
Perirhinal	fma61918
Cerebral_White_Matter_Edge	60a67928-ed58-41b1-995c-bc1a8292b758
Cerebral_White_Matter_Edge	60a67928-ed58-41b1-995c-bc1a8292b758
Background	bd2676eb-8187-42cc-8f7d-b77f1294ca7c
Background	bd2676eb-8187-42cc-8f7d-b77f1294ca7c
Ectorhinal	9a2dba64-793b-4a3f-837f-14acebf6620b
Ectorhinal	9a2dba64-793b-4a3f-837f-14acebf6620b
HP_tail	68b55f99-2521-4f0c-a806-a46ee6dccd74
HP_tail	68b55f99-2521-4f0c-a806-a46ee6dccd74
Fornix	67e38c9d-d78f-42b8-b83d-a2f6e86e3261
Fornix	67e38c9d-d78f-42b8-b83d-a2f6e86e3261
CC_Posterior	b31f22ba6ea579b87ad0cae0680068f7
CC_Posterior	b31f22ba6ea579b87ad0cae0680068f7
CC_Mid_Posterior	b31f22ba6ea579b87ad0cae068007505
CC_Mid_Posterior	b31f22ba6ea579b87ad0cae068007505
CC_Central	b31f22ba6ea579b87ad0cae0680084c4
CC_Central	b31f22ba6ea579b87ad0cae0680084c4
CC_Mid_Anterior	b31f22ba6ea579b87ad0cae0680087e3
CC_Mid_Anterior	b31f22ba6ea579b87ad0cae0680087e3
CC_Anterior	b31f22ba6ea579b87ad0cae068008d8c
CC_Anterior	b31f22ba6ea579b87ad0cae068008d8c
CSF-ExtraCerebral	9d013d41-325d-4deb-8306-eb6475ac0e60
CSF ExtraCerebral	9d013d41-325d-4deb-8306-eb6475ac0e60
Head-ExtraCerebral	
Head ExtraCerebral	
SkullApprox	f745e882-3ba8-488d-9355-92aafee8b55b
SkullApprox	f745e882-3ba8-488d-9355-92aafee8b55b
BoneOrAir	369fcf9d-c79f-4b58-ab41-aad914c1a6c9
BoneOrAir	369fcf9d-c79f-4b58-ab41-aad914c1a6c9
PossibleFluid	90b691bf-e00e-4c67-934c-35593b82c7a2
PossibleFluid	90b691bf-e00e-4c67-934c-35593b82c7a2
Sinus	cfb80cd6-f9af-4663-802a-d7c5b61e7953
Sinus	cfb80cd6-f9af-4663-802a-d7c5b61e7953
Left-Eustachian	0edce373-bf12-4354-82cb-82867541caaf
Left Eustachian	0edce373-bf12-4354-82cb-82867541caaf
Right-Eustachian	3ba6af1d-2474-4d68-b550-f2966dc1e56c
Right Eustachian	3ba6af1d-2474-4d68-b550-f2966dc1e56c
Anterior commissure	UBERON_0000935
Anterior commissure	UBERON_0000935
Corpus callosum	UBERON_0002336
Corpus callosum	UBERON_0002336
Corpus callosum – genu	UBERON_0015599
Corpus callosum – genu	UBERON_0015599
Corpus callosum – rostrum	UBERON_0015703
Corpus callosum – rostrum	UBERON_0015703
Corpus callosum – splenium	UBERON_0015708
Corpus callosum – splenium	UBERON_0015708
Middle cerebellar peduncle	UBERON_0002152
Middle cerebellar peduncle	UBERON_0002152
Arcuate fasciculus	UBERON_0035937
Arcuate fasciculus	UBERON_0035937
Acoustic radiation	UBERON_0022262
Acoustic radiation	UBERON_0022262
Anterior thalamic radiations	UBERON_0034746
Anterior thalamic radiations	UBERON_0034746
Cingulum bundle	UBERON_0003961
Cingulum bundle	UBERON_0003961
Corticospinal tract	UBERON_0002707
Corticospinal tract	UBERON_0002707
Extreme capsule	UBERON_0014528
Extreme capsule	UBERON_0014528
Fornix	UBERON_0000052
Fornix	UBERON_0000052
Inferior longitudinal fasciculus	UBERON_0034743
Inferior longitudinal fasciculus	UBERON_0034743
Middle longitudinal fasciculus	UBERON_0002309
Middle longitudinal fasciculus	UBERON_0002309
Optic radiation	UBERON_0022264
Optic radiation	UBERON_0022264
superior longitudinal fasciculus	UBERON_0022246
superior longitudinal fasciculus	UBERON_0022246
Uncinate fasciculus	UBERON_0003044
Uncinate fasciculus	UBERON_0003044
Segmentation of the left thalamus (cropped image)	fma258716
Segmentation of the left thalamus (cropped image)	fma258716
left anteroventral nucleus (belongs to the anterior group)	RID20531
left anteroventral nucleus (belongs to the anterior group)	RID20531
left ventral anterior nucleus (belongs to the lateral group)	RID20930
left ventral anterior nucleus (belongs to the lateral group)	RID20930
left ventral anterior nucleus (belongs to the lateral group)	RID20932
left ventral anterior nucleus (belongs to the lateral group)	RID20932
Ventral Lateral posterior nucleus of the thalamus - dorsal, left	336ceaa3151ecb67e788bc97ad00fc6c
Ventral Lateral posterior nucleus of the thalamus   dorsal, left	336ceaa3151ecb67e788bc97ad00fc6c
Ventral Lateral posterior nucleus of the thalamus - ventral (VIM), left	b470b273df3a4ddcafe45a1fb3005916
Ventral Lateral posterior nucleus of the thalamus   ventral (VIM), left	b470b273df3a4ddcafe45a1fb3005916
Ventral Lateral posterior nucleus of the thalamus, left	4423
Ventral Lateral posterior nucleus of the thalamus, left	4423
left ventral posterolateral nucleus (belongs to the lateral group)	fma73076
left ventral posterolateral nucleus (belongs to the lateral group)	fma73076
left pulvinar nucleus (belongs to the posterior group)	fma73020
left pulvinar nucleus (belongs to the posterior group)	fma73020
left lateral geniculate nucleus (belongs to the posterior group)	RID6617
left lateral geniculate nucleus (belongs to the posterior group)	RID6617
left medial geniculate nucleus (belongs to the posterior group)	RID6618
left medial geniculate nucleus (belongs to the posterior group)	RID6618
left centromedian nucleus (belongs to medial group)	fma73046
left centromedian nucleus (belongs to medial group)	fma73046
left mediodorsal nucleus (belongs to medial group)	radlex
left mediodorsal nucleus (belongs to medial group)	radlex
left habenula nucleus (belongs to medial group)	UBERON_0001904
left habenula nucleus (belongs to medial group)	UBERON_0001904
left mammillothalamic tract	690
left mammillothalamic tract	690
Lateral group of nuclei, left, ventral division	4417
Lateral group of nuclei, left, ventral division	4417
Ventral Lateral posterior nucleus of the thalamus, left	4423
Ventral Lateral posterior nucleus of the thalamus, left	4423
Segmentation of the right thalamus (cropped image)	fma258714
Segmentation of the right thalamus (cropped image)	fma258714
Right anteroventral nucleus (belongs to the anterior group)	RID20530
Right anteroventral nucleus (belongs to the anterior group)	RID20530
Right ventral anterior nucleus (belongs to the lateral group)	RID20929
Right ventral anterior nucleus (belongs to the lateral group)	RID20929
Right ventral anterior nucleus (belongs to the lateral group)	RID20931
Right ventral anterior nucleus (belongs to the lateral group)	RID20931
Ventral Lateral posterior nucleus of the thalamus - dorsal, right	b470b273df3a4ddcafe45a1fb30084bc
Ventral Lateral posterior nucleus of the thalamus   dorsal, right	b470b273df3a4ddcafe45a1fb30084bc
Ventral Lateral posterior nucleus of the thalamus - ventral (VIM), right	b470b273df3a4ddcafe45a1fb300b2a9
Ventral Lateral posterior nucleus of the thalamus   ventral (VIM), right	b470b273df3a4ddcafe45a1fb300b2a9
Ventral Lateral posterior nucleus of the thalamus, right	4478
Ventral Lateral posterior nucleus of the thalamus, right	4478
Right ventral posterolateral nucleus (belongs to the lateral group)	fma73075
Right ventral posterolateral nucleus (belongs to the lateral group)	fma73075
Pulvinar nucleus (belongs to the posterior group)	fma73019
Pulvinar nucleus (belongs to the posterior group)	fma73019
Right lateral geniculate nucleus (belongs to the posterior group)	RID6617
Right lateral geniculate nucleus (belongs to the posterior group)	RID6617
Right medial geniculate nucleus (belongs to the posterior group)	RID6618
Right medial geniculate nucleus (belongs to the posterior group)	RID6618
Right centromedian nucleus (belongs to medial group)	fma73045
Right centromedian nucleus (belongs to medial group)	fma73045
Right mediodorsal nucleus (belongs to medial group)	
Right mediodorsal nucleus (belongs to medial group)	
Right habenula nucleus (belongs to medial group)	UBERON_0001904
Right habenula nucleus (belongs to medial group)	UBERON_0001904
Right mammillothalamic tract	690
Right mammillothalamic tract	690
Lateral group of nuclei, right, ventral division	4472
Lateral group of nuclei, right, ventral division	4472
Ventral Lateral posterior nucleus of the thalamus, right	4478
Ventral Lateral posterior nucleus of the thalamus, right	4478
brodmann area 1	FMA:68597
area 1 of brodmann	FMA:68597
brodmann's area 1	FMA:68597
intermediate postcentral area	FMA:68597
brodmann area 3	FMA:68599
area 3 of brodmann	fma:68599
rostral postcentral area	FMA:68599
brodmann area 2	FMA:68598
area 2 of brodmann	FMA:68598
brodmann's area 2	FMA:68598
caudal postcentral area	FMA:68598
brodmann area 4	FMA:68600
area 4 of brodmann	FMA:68600
brodmann's area 4	FMA:68600
giant pyramidal area	FMA:68600
brodmann area 5	FMA:68601
preparietal area 5	FMA:68601
brodmann area 6	FMA:68602
agranular frontal area 6	FMA:68602
area 6 of brodmann	FMA:68602
frontal belt	FMA:68602
brodmann area 7	FMA:68604
area 7 of brodmann	FMA:68604
brodmann area 8	FMA:68605
area 8 of brodmann	FMA:68605
intermediate frontal area	FMA:68605
brodmann area 9	FMA:68606
area 9 of brodmann	FMA:68606
granular frontal area	FMA:68606
brodmann area 10	FMA:68607
area 10 of brodmann	FMA:68607
lateral orbital area	FMA:68607
brodmann area 11	FMA:68608
area 11 of brodmann	FMA:68608
medial orbital area	FMA:68608
brodmann area 12	FMA:68609
area 12 of brodmann	FMA:68609
frontopolar area	FMA:68609
brodmann area 13	FMA:68610
brodmann area 14	FMA:68611
brodmann area 15	FMA:68612
brodmann area 16	FMA:68613
area 16 of brodmann	FMA:68613
brodmann area 17	FMA:68614
area 17 of brodmann	FMA:68614
striate area	FMA:68614
brodmann area 18	FMA:68615
area 18 of brodmann	FMA:68615
brodmann's area 18	FMA:68615
parastriate area 18	FMA:68615
secondary visual area	FMA:68615
visual area ii	FMA:68615
brodmann area 19	FMA:68616
area 19 of brodmann	FMA:68616
brodmann's area 19	FMA:68616
preoccipital area	FMA:68616
brodmann area 20	FMA:68617
area 20 of brodmann	FMA:68617
inferior temporal area	FMA:68617
brodmann area 21	FMA:68618
area 21 of brodmann	FMA:68618
middle temporal area	FMA:68618
brodmann area 22	FMA:68619
area 22 of brodmann	FMA:68619
superior temporal area	FMA:68619
brodmann area 23	FMA:68620
area 23 of brodmann	FMA:68620
granular cingulate area	FMA:68620
posterior cingulate area	FMA:68620
brodmann area 24	FMA:68621
area 24 of brodmann	FMA:68621
brodmann area 25	FMA:68622
area 25 of brodmann	FMA:68622
brodmann's area 25	FMA:68622
brodmann area 26	FMA:68623
area 26 of brodmann	FMA:68623
ectosplenial area	FMA:68623
brodmann area 27	FMA:68624
area 27	FMA:68624
presubicular area	FMA:68624
brodmann area 28	FMA:68625
area 28 of brodmann	FMA:68625
brodmann area 29	FMA:68626
area 29 of brodmann	FMA:68626
brodmann's area 29	FMA:68626
granular retrolimbic area 29	FMA:68626
brodmann area 30	FMA:68627
agranular retrolimbic area 30	FMA:68627
area 30 of brodmann	FMA:68627
brodmann's area 30	FMA:68627
brodmann area 31	FMA:68628
area 31 of brodmann	FMA:68628
brodmann's area 31	FMA:68628
cinguloparietal transition area	FMA:68628
dorsal posterior cingulate area 31	FMA:68628
brodmann area 32	FMA:68629
area 32 of brodmann	FMA:68629
prelimbic area	FMA:68629
brodmann area 33	FMA:68630
area 33 of brodmann	FMA:68630
brodmann's area 33	FMA:68630
pregenual area 33	FMA:68630
brodmann area 34	FMA:68631
area 34 of brodmann	FMA:68631
dorsal entorhinal area 34	FMA:68631
brodmann area 35	FMA:68632
area 35 of brodmann	FMA:68632
brodmann's area 35	FMA:68632
perirhinal area 35	FMA:68632
brodmann area 36	FMA:68633
area 36 of brodmann	FMA:68633
ectorhinal area 36	FMA:68633
brodmann area 37	FMA:68634
area 37 of brodmann	FMA:68634
occipitotemporal area 37	FMA:68634
brodmann area 38	FMA:68635
area 38 of brodmann	FMA:68635
temporopolar area 38	FMA:68635
brodmann area 39	FMA:68636
angular area 39	FMA:68636
area 39 of brodmann	FMA:68636
brodmann area 40	FMA:68637
area 40 of brodmann	FMA:68637
supramarginal area 40	FMA:68637
brodmann area 41	FMA:68638
anterior transverse temporal area 41	FMA:68638
area 41 of brodmann	FMA:68638
brodmann area 42	FMA:68639
area 42 of brodmann	FMA:68639
posterior transverse temporal area 42	FMA:68639
brodmann area 43	FMA:68640
area 43 of brodmann	FMA:68640
brodmann area 44	FMA:68641
area 44 of brodmann	FMA:68641
opercular area 44	FMA:68641
brodmann area 45	FMA:68642
area 45 of brodmann	FMA:68642
triangular area 45	FMA:68642
brodmann area 46	FMA:68643
area 46 of brodmann	FMA:68643
middle frontal area 46	FMA:68643
brodmann area 47	FMA:68644
area 47 of brodmann	FMA:68644
orbital area 47	FMA:68644
brodmann area 48	FMA:81151
area 48 of brodmann	FMA:81151
brodmann's area 48	FMA:81151
retrosubicular area 48	FMA:81151
brodmann area 49	FMA:81152
area 49 of brodmann	FMA:81152
parasubicular area 49	FMA:81152
brodmann area 50	FMA:81154
brodmann area 51	FMA:81155
brodmann area 52	FMA:81153
area 52 of brodmann	FMA:81153
parainsular area 52	FMA:81153
periaqueductal gray	UBERON:0003040
periaqueductal grey	UBERON:0003040
neostriatum	FMA:77617
olfactory bulb	UBERON:0002264
striate cortex	FMA:236871
dorsal lateral geniculate nucleus	UBERON:0002479
ventral lateral geniculate nucleus	UBERON:0002480
lateral geniculate nucleus	UBERON:0001926
nucleus accumbens	UBERON:0001882
solitary tract	UBERON:0002718
02 optic nerve	UBERON:0000941
A10 dopaminergic cell group	UBERON:0036005
A11 dopaminergic cell group	UBERON:0036006
A12 dopaminergic cell group	UBERON:0036009
A13 dopaminergic cell group	UBERON:0036007
A14 dopaminergic cell group	UBERON:0036001
